"S.
No.",Description,Average Price,% Change,Cities,Value,Month
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Islam-abad,2913.23,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Rawal-pindi,2902.12,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Gujran-wala,2799.33,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Sialkot,2800,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Lahore,2798,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Faisal-abad,2773.27,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Sar-godha,2830,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Multan,2725.84,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Baha-walpur,2749.85,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Karachi,2790.99,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Hyder-abad,2892.42,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Sukkur,2694.99,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Larkana,2714.88,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Pesha-war,2829.33,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Bannu,2837.35,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Quetta,2890.29,January 2024
1,Wheat Flour Bag 20 Kg,2812.28,-0.22,Khuz-dar,2879.97,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Islam-abad,254.82,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Rawal-pindi,245.28,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Gujran-wala,196.78,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Sialkot,163.27,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Lahore,233.98,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Faisal-abad,224.11,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Sar-godha,219.15,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Multan,200,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Baha-walpur,186.43,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Karachi,268.02,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Hyder-abad,248.17,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Sukkur,220,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Larkana,249.93,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Pesha-war,234.92,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Bannu,189.15,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Quetta,264.97,January 2024
2,Rice Basmati Broken (Average Qualit 1 Kg,222.89,0.87,Khuz-dar,223.28,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Islam-abad,168.39,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Rawal-pindi,147.87,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Faisal-abad,160,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Sar-godha,176.6,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Multan,158.12,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Baha-walpur,170,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Karachi,177.75,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Hyder-abad,187.78,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Sukkur,170,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Larkana,156.59,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Pesha-war,174.93,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Bannu,170,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Quetta,184.95,January 2024
3,Rice IRRI-6/9 (Sindh/Punjab) 1 Kg,167.66,2.63,Khuz-dar,150,January 2024
4,Bread plain (Small Size) Each,115.79,0,Islam-abad,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Rawal-pindi,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Gujran-wala,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Sialkot,110,January 2024
4,Bread plain (Small Size) Each,115.79,0,Lahore,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Faisal-abad,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Sar-godha,110,January 2024
4,Bread plain (Small Size) Each,115.79,0,Multan,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Baha-walpur,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Karachi,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Hyder-abad,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Sukkur,130,January 2024
4,Bread plain (Small Size) Each,115.79,0,Larkana,112.92,January 2024
4,Bread plain (Small Size) Each,115.79,0,Pesha-war,110,January 2024
4,Bread plain (Small Size) Each,115.79,0,Bannu,100,January 2024
4,Bread plain (Small Size) Each,115.79,0,Quetta,120,January 2024
4,Bread plain (Small Size) Each,115.79,0,Khuz-dar,100,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Islam-abad,1045.15,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Rawal-pindi,970.62,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Gujran-wala,866.35,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Sialkot,824.62,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Lahore,868.14,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Faisal-abad,861.77,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Sar-godha,806.61,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Multan,835.81,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Baha-walpur,782.97,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Karachi,952.46,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Hyder-abad,768.37,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Sukkur,774.6,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Larkana,800,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Pesha-war,765.77,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Bannu,700,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Quetta,867.41,January 2024
5,Beef with Bone (Average Quality) 1 Kg,835.65,1.32,Khuz-dar,782.97,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Islam-abad,2057.45,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Rawal-pindi,1995.63,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Gujran-wala,1800,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Sialkot,1824.83,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Lahore,2032.79,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Faisal-abad,1930.98,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Sar-godha,1533.15,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Multan,1800,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Baha-walpur,1549.2,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Karachi,1833.81,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Hyder-abad,1649.24,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Sukkur,1500,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Larkana,1766.03,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Pesha-war,1714.34,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Bannu,1400,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Quetta,1734.1,January 2024
6,Mutton (Average Quality) 1 Kg,1731.66,1.33,Khuz-dar,1500,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Islam-abad,436.45,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Rawal-pindi,423.89,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Gujran-wala,416.07,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Sialkot,415.63,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Lahore,415.22,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Faisal-abad,430.39,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Sar-godha,417.25,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Multan,440.94,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Baha-walpur,405.22,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Karachi,465.7,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Hyder-abad,455.37,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Sukkur,452.37,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Larkana,440.08,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Pesha-war,430.75,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Bannu,438.23,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Quetta,460.01,January 2024
7,Chicken Farm Broiler (Live) 1 Kg,437.65,25.63,Khuz-dar,507.34,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Islam-abad,212.34,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Rawal-pindi,211.77,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Gujran-wala,200,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Sialkot,160,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Lahore,160.93,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Faisal-abad,186.43,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Sar-godha,146.59,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Multan,176.6,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Baha-walpur,146.59,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Karachi,200,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Hyder-abad,200,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Sukkur,200,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Larkana,213.12,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Pesha-war,211.59,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Bannu,156.59,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Quetta,200,January 2024
8,Milk fresh (Un-boiled) 1 Ltr,185.33,0.03,Khuz-dar,193.97,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Islam-abad,233.18,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Rawal-pindi,231.08,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Gujran-wala,220,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Sialkot,180,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Lahore,185.9,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Faisal-abad,220,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Sar-godha,180,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Multan,217.68,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Baha-walpur,180,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Karachi,309.29,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Hyder-abad,276.56,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Sukkur,220,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Larkana,220,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Pesha-war,228.46,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Bannu,176.6,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Quetta,220,January 2024
9,Curd (Dahi) Loose 1 Kg,215.53,0,Khuz-dar,206.61,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Islam-abad,834.97,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Rawal-pindi,834.65,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Gujran-wala,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Sialkot,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Lahore,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Faisal-abad,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Sar-godha,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Multan,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Baha-walpur,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Karachi,810.23,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Hyder-abad,830,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Sukkur,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Larkana,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Pesha-war,826.65,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Bannu,820,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Quetta,850,January 2024
10,Powdered Milk NIDO 390 gm Polyba gEach,823.87,0.05,Khuz-dar,820,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Islam-abad,421.23,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Rawal-pindi,416.49,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Gujran-wala,424.91,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Sialkot,427.48,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Lahore,399.26,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Faisal-abad,419.66,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Sar-godha,404.66,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Multan,422.36,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Baha-walpur,411.85,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Karachi,402.36,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Hyder-abad,414.52,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Sukkur,422.3,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Larkana,424.14,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Pesha-war,430.13,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Bannu,417.36,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Quetta,411.7,January 2024
11,Eggs Hen (Farm) 1 Dozen,416.69,13.42,Khuz-dar,414.83,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Islam-abad,667.35,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Rawal-pindi,653.94,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Gujran-wala,420,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Sialkot,480,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Lahore,500.87,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Faisal-abad,600,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Sar-godha,500,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Multan,497.74,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Baha-walpur,479.47,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Karachi,487.72,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Hyder-abad,401.63,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Sukkur,344.96,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Larkana,513.18,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Pesha-war,616.22,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Bannu,442.08,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Quetta,562.92,January 2024
12,Mustard Oil (Average Quality) 1 Kg,503.18,-0.27,Khuz-dar,506.58,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Islam-abad,2745,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Rawal-pindi,2745,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Gujran-wala,2936.76,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Sialkot,2835,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Lahore,2767.23,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Faisal-abad,2745,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Sar-godha,2732.41,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Multan,2745,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Baha-walpur,2782.15,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Karachi,2745,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Hyder-abad,2789.64,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Sukkur,2745,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Larkana,2885,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Pesha-war,2660,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Bannu,2485.88,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Quetta,2756.09,January 2024
13,Cooking Oil DALDA or Other Similar BEach,2755.81,-1.12,Khuz-dar,2774.89,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Islam-abad,1297.44,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Rawal-pindi,1297.44,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Gujran-wala,1317.9,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Sialkot,1310,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Lahore,1310,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Faisal-abad,1310,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Sar-godha,1310,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Multan,1310,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Baha-walpur,1327.16,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Karachi,1310,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Hyder-abad,1310,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Sukkur,1400,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Larkana,1390,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Pesha-war,1300,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Bannu,1200,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Quetta,1310,January 2024
14, Vegetable Ghee DALDA/HABIB 2.5 kg Each,1311.13,-1.33,Khuz-dar,1289.96,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Islam-abad,501.48,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Rawal-pindi,501.48,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Gujran-wala,501.48,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Sialkot,506.48,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Lahore,501.48,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Faisal-abad,486.41,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Sar-godha,501.48,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Multan,503.98,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Baha-walpur,509,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Karachi,508.01,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Hyder-abad,509,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Sukkur,509,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Larkana,519,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Pesha-war,500,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Bannu,470.83,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Quetta,505.23,January 2024
15,Vegetable Ghee DALDA/HABIB or Ot hEach,502.79,-0.75,Khuz-dar,514.98,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Islam-abad,209.2,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Rawal-pindi,175.07,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Gujran-wala,130,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Sialkot,139.64,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Lahore,117.42,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Faisal-abad,106.27,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Sar-godha,100,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Multan,143.26,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Baha-walpur,123.02,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Karachi,108.97,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Hyder-abad,84.59,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Sukkur,101.53,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Larkana,100,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Pesha-war,121.64,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Bannu,124.72,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Quetta,101.56,January 2024
16,Bananas (Kela) Local 1 Dozen,119.85,4.22,Khuz-dar,103.08,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Islam-abad,374.71,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Rawal-pindi,358.44,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Gujran-wala,322.47,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Sialkot,330,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Lahore,329.43,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Faisal-abad,346.54,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Sar-godha,340,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Multan,338.12,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Baha-walpur,320,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Karachi,342.39,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Hyder-abad,333.2,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Sukkur,340,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Larkana,326.53,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Pesha-war,337.75,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Bannu,320,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Quetta,366.11,January 2024
17,Pulse Masoor (Washed) 1 Kg,339.5,1.29,Khuz-dar,351.53,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Islam-abad,314.35,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Rawal-pindi,291.19,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Gujran-wala,284.87,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Sialkot,274.87,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Lahore,270.4,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Faisal-abad,293.3,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Sar-godha,296.63,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Multan,308.73,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Baha-walpur,294.1,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Karachi,300.43,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Hyder-abad,326.95,January 2024
18,Pulse Moong (Washed) 1 Kg,302.54,5.58,Sukkur,344.89,January 2024
